Cancer group/site,Year,Sex,State or Territory,Count
Melanoma of the skin,2007,Males,Australia,"6,034"
Melanoma of the skin,2007,Females,Australia,"4,400"
Melanoma of the skin,2007,Persons,Australia,"10,434"
Melanoma of the skin,2008,Males,Australia,"6,529"
Melanoma of the skin,2008,Females,Australia,"4,606"
Melanoma of the skin,2008,Persons,Australia,"11,135"
Melanoma of the skin,2009,Males,Australia,"6,598"
Melanoma of the skin,2009,Females,Australia,"4,708"
Melanoma of the skin,2009,Persons,Australia,"11,306"
Melanoma of the skin,2010,Males,Australia,"6,796"
Melanoma of the skin,2010,Females,Australia,"4,703"
Melanoma of the skin,2010,Persons,Australia,"11,499"
Melanoma of the skin,2011,Males,Australia,"6,800"
Melanoma of the skin,2011,Females,Australia,"4,837"
Melanoma of the skin,2011,Persons,Australia,"11,637"
Melanoma of the skin,2012,Males,Australia,"7,152"
Melanoma of the skin,2012,Females,Australia,"5,081"
Melanoma of the skin,2012,Persons,Australia,"12,233"
Melanoma of the skin,2013,Males,Australia,"7,523"
Melanoma of the skin,2013,Females,Australia,"5,339"
Melanoma of the skin,2013,Persons,Australia,"12,862"
Melanoma of the skin,2014,Males,Australia,"7,705"
Melanoma of the skin,2014,Females,Australia,"5,483"
Melanoma of the skin,2014,Persons,Australia,"13,188"
Melanoma of the skin,2015,Males,Australia,"8,004"
Melanoma of the skin,2015,Females,Australia,"5,714"
Melanoma of the skin,2015,Persons,Australia,"13,718"
Melanoma of the skin,2016,Males,Australia,"8,491"
Melanoma of the skin,2016,Females,Australia,"6,034"
Melanoma of the skin,2016,Persons,Australia,"14,525"
Melanoma of the skin,2017,Males,Australia,"8,833"
Melanoma of the skin,2017,Females,Australia,"6,129"
Melanoma of the skin,2017,Persons,Australia,"14,962"
Melanoma of the skin,2018,Males,Australia,"8,807"
Melanoma of the skin,2018,Females,Australia,"6,315"
Melanoma of the skin,2018,Persons,Australia,"15,123"
Melanoma of the skin,2019,Males,Australia,"9,135"
Melanoma of the skin,2019,Females,Australia,"6,491"
Melanoma of the skin,2019,Persons,Australia,"15,626"
Melanoma of the skin,2020,Males,Australia,"8,546"
Melanoma of the skin,2020,Females,Australia,"6,135"
Melanoma of the skin,2020,Persons,Australia,"14,686"
Melanoma of the skin,2007,Males,Australian Capital Territory,72
Melanoma of the skin,2007,Females,Australian Capital Territory,59
Melanoma of the skin,2007,Persons,Australian Capital Territory,131
Melanoma of the skin,2008,Males,Australian Capital Territory,76
Melanoma of the skin,2008,Females,Australian Capital Territory,62
Melanoma of the skin,2008,Persons,Australian Capital Territory,139
Melanoma of the skin,2009,Males,Australian Capital Territory,77
Melanoma of the skin,2009,Females,Australian Capital Territory,57
Melanoma of the skin,2009,Persons,Australian Capital Territory,135
Melanoma of the skin,2010,Males,Australian Capital Territory,74
Melanoma of the skin,2010,Females,Australian Capital Territory,50
Melanoma of the skin,2010,Persons,Australian Capital Territory,124
Melanoma of the skin,2011,Males,Australian Capital Territory,76
Melanoma of the skin,2011,Females,Australian Capital Territory,48
Melanoma of the skin,2011,Persons,Australian Capital Territory,124
Melanoma of the skin,2012,Males,Australian Capital Territory,79
Melanoma of the skin,2012,Females,Australian Capital Territory,54
Melanoma of the skin,2012,Persons,Australian Capital Territory,132
Melanoma of the skin,2013,Males,Australian Capital Territory,81
Melanoma of the skin,2013,Females,Australian Capital Territory,54
Melanoma of the skin,2013,Persons,Australian Capital Territory,135
Melanoma of the skin,2014,Males,Australian Capital Territory,81
Melanoma of the skin,2014,Females,Australian Capital Territory,63
Melanoma of the skin,2014,Persons,Australian Capital Territory,144
Melanoma of the skin,2015,Males,Australian Capital Territory,84
Melanoma of the skin,2015,Females,Australian Capital Territory,70
Melanoma of the skin,2015,Persons,Australian Capital Territory,153
Melanoma of the skin,2016,Males,Australian Capital Territory,92
Melanoma of the skin,2016,Females,Australian Capital Territory,75
Melanoma of the skin,2016,Persons,Australian Capital Territory,167
Melanoma of the skin,2017,Males,Australian Capital Territory,107
Melanoma of the skin,2017,Females,Australian Capital Territory,77
Melanoma of the skin,2017,Persons,Australian Capital Territory,184
Melanoma of the skin,2018,Males,Australian Capital Territory,114
Melanoma of the skin,2018,Females,Australian Capital Territory,81
Melanoma of the skin,2018,Persons,Australian Capital Territory,195
Melanoma of the skin,2019,Males,Australian Capital Territory,120
Melanoma of the skin,2019,Females,Australian Capital Territory,86
Melanoma of the skin,2019,Persons,Australian Capital Territory,205
Melanoma of the skin,2020,Males,Australian Capital Territory,120
Melanoma of the skin,2020,Females,Australian Capital Territory,85
Melanoma of the skin,2020,Persons,Australian Capital Territory,205
Melanoma of the skin,2007,Males,New South Wales,"2,126"
Melanoma of the skin,2007,Females,New South Wales,"1,420"
Melanoma of the skin,2007,Persons,New South Wales,"3,546"
Melanoma of the skin,2008,Males,New South Wales,"2,155"
Melanoma of the skin,2008,Females,New South Wales,"1,489"
Melanoma of the skin,2008,Persons,New South Wales,"3,644"
Melanoma of the skin,2009,Males,New South Wales,"2,190"
Melanoma of the skin,2009,Females,New South Wales,"1,534"
Melanoma of the skin,2009,Persons,New South Wales,"3,724"
Melanoma of the skin,2010,Males,New South Wales,"2,336"
Melanoma of the skin,2010,Females,New South Wales,"1,563"
Melanoma of the skin,2010,Persons,New South Wales,"3,899"
Melanoma of the skin,2011,Males,New South Wales,"2,399"
Melanoma of the skin,2011,Females,New South Wales,"1,616"
Melanoma of the skin,2011,Persons,New South Wales,"4,015"
Melanoma of the skin,2012,Males,New South Wales,"2,490"
Melanoma of the skin,2012,Females,New South Wales,"1,699"
Melanoma of the skin,2012,Persons,New South Wales,"4,189"
Melanoma of the skin,2013,Males,New South Wales,"2,540"
Melanoma of the skin,2013,Females,New South Wales,"1,767"
Melanoma of the skin,2013,Persons,New South Wales,"4,307"
Melanoma of the skin,2014,Males,New South Wales,"2,558"
Melanoma of the skin,2014,Females,New South Wales,"1,797"
Melanoma of the skin,2014,Persons,New South Wales,"4,355"
Melanoma of the skin,2015,Males,New South Wales,"2,581"
Melanoma of the skin,2015,Females,New South Wales,"1,780"
Melanoma of the skin,2015,Persons,New South Wales,"4,361"
Melanoma of the skin,2016,Males,New South Wales,"2,858"
Melanoma of the skin,2016,Females,New South Wales,"1,927"
Melanoma of the skin,2016,Persons,New South Wales,"4,785"
Melanoma of the skin,2017,Males,New South Wales,"2,975"
Melanoma of the skin,2017,Females,New South Wales,"1,957"
Melanoma of the skin,2017,Persons,New South Wales,"4,932"
Melanoma of the skin,2018,Males,New South Wales,"2,984"
Melanoma of the skin,2018,Females,New South Wales,"2,021"
Melanoma of the skin,2018,Persons,New South Wales,"5,005"
Melanoma of the skin,2019,Males,New South Wales,"3,012"
Melanoma of the skin,2019,Females,New South Wales,"2,077"
Melanoma of the skin,2019,Persons,New South Wales,"5,089"
Melanoma of the skin,2020,Males,New South Wales,"2,894"
Melanoma of the skin,2020,Females,New South Wales,"2,024"
Melanoma of the skin,2020,Persons,New South Wales,"4,918"
Melanoma of the skin,2007,Males,Northern Territory,30
Melanoma of the skin,2007,Females,Northern Territory,20
Melanoma of the skin,2007,Persons,Northern Territory,50
Melanoma of the skin,2008,Males,Northern Territory,29
Melanoma of the skin,2008,Females,Northern Territory,20
Melanoma of the skin,2008,Persons,Northern Territory,49
Melanoma of the skin,2009,Males,Northern Territory,30
Melanoma of the skin,2009,Females,Northern Territory,20
Melanoma of the skin,2009,Persons,Northern Territory,50
Melanoma of the skin,2010,Males,Northern Territory,32
Melanoma of the skin,2010,Females,Northern Territory,21
Melanoma of the skin,2010,Persons,Northern Territory,53
Melanoma of the skin,2011,Males,Northern Territory,33
Melanoma of the skin,2011,Females,Northern Territory,22
Melanoma of the skin,2011,Persons,Northern Territory,55
Melanoma of the skin,2012,Males,Northern Territory,37
Melanoma of the skin,2012,Females,Northern Territory,23
Melanoma of the skin,2012,Persons,Northern Territory,60
Melanoma of the skin,2013,Males,Northern Territory,39
Melanoma of the skin,2013,Females,Northern Territory,24
Melanoma of the skin,2013,Persons,Northern Territory,63
Melanoma of the skin,2014,Males,Northern Territory,43
Melanoma of the skin,2014,Females,Northern Territory,25
Melanoma of the skin,2014,Persons,Northern Territory,68
Melanoma of the skin,2015,Males,Northern Territory,48
Melanoma of the skin,2015,Females,Northern Territory,27
Melanoma of the skin,2015,Persons,Northern Territory,75
Melanoma of the skin,2016,Males,Northern Territory,54
Melanoma of the skin,2016,Females,Northern Territory,28
Melanoma of the skin,2016,Persons,Northern Territory,82
Melanoma of the skin,2017,Males,Northern Territory,52
Melanoma of the skin,2017,Females,Northern Territory,29
Melanoma of the skin,2017,Persons,Northern Territory,81
Melanoma of the skin,2018,Males,Northern Territory,53
Melanoma of the skin,2018,Females,Northern Territory,30
Melanoma of the skin,2018,Persons,Northern Territory,83
Melanoma of the skin,2019,Males,Northern Territory,55
Melanoma of the skin,2019,Females,Northern Territory,33
Melanoma of the skin,2019,Persons,Northern Territory,88
Melanoma of the skin,2020,Males,Northern Territory,55
Melanoma of the skin,2020,Females,Northern Territory,33
Melanoma of the skin,2020,Persons,Northern Territory,88
Melanoma of the skin,2007,Males,Queensland,"1,591"
Melanoma of the skin,2007,Females,Queensland,"1,125"
Melanoma of the skin,2007,Persons,Queensland,"2,716"
Melanoma of the skin,2008,Males,Queensland,"1,776"
Melanoma of the skin,2008,Females,Queensland,"1,193"
Melanoma of the skin,2008,Persons,Queensland,"2,969"
Melanoma of the skin,2009,Males,Queensland,"1,787"
Melanoma of the skin,2009,Females,Queensland,"1,264"
Melanoma of the skin,2009,Persons,Queensland,"3,051"
Melanoma of the skin,2010,Males,Queensland,"1,842"
Melanoma of the skin,2010,Females,Queensland,"1,268"
Melanoma of the skin,2010,Persons,Queensland,"3,110"
Melanoma of the skin,2011,Males,Queensland,"1,924"
Melanoma of the skin,2011,Females,Queensland,"1,379"
Melanoma of the skin,2011,Persons,Queensland,"3,303"
Melanoma of the skin,2012,Males,Queensland,"2,014"
Melanoma of the skin,2012,Females,Queensland,"1,430"
Melanoma of the skin,2012,Persons,Queensland,"3,444"
Melanoma of the skin,2013,Males,Queensland,"2,163"
Melanoma of the skin,2013,Females,Queensland,"1,530"
Melanoma of the skin,2013,Persons,Queensland,"3,693"
Melanoma of the skin,2014,Males,Queensland,"2,199"
Melanoma of the skin,2014,Females,Queensland,"1,507"
Melanoma of the skin,2014,Persons,Queensland,"3,706"
Melanoma of the skin,2015,Males,Queensland,"2,192"
Melanoma of the skin,2015,Females,Queensland,"1,561"
Melanoma of the skin,2015,Persons,Queensland,"3,753"
Melanoma of the skin,2016,Males,Queensland,"2,331"
Melanoma of the skin,2016,Females,Queensland,"1,633"
Melanoma of the skin,2016,Persons,Queensland,"3,964"
Melanoma of the skin,2017,Males,Queensland,"2,477"
Melanoma of the skin,2017,Females,Queensland,"1,671"
Melanoma of the skin,2017,Persons,Queensland,"4,148"
Melanoma of the skin,2018,Males,Queensland,"2,341"
Melanoma of the skin,2018,Females,Queensland,"1,731"
Melanoma of the skin,2018,Persons,Queensland,"4,072"
Melanoma of the skin,2019,Males,Queensland,"2,601"
Melanoma of the skin,2019,Females,Queensland,"1,845"
Melanoma of the skin,2019,Persons,Queensland,"4,446"
Melanoma of the skin,2020,Males,Queensland,"2,408"
Melanoma of the skin,2020,Females,Queensland,"1,761"
Melanoma of the skin,2020,Persons,Queensland,"4,169"
Melanoma of the skin,2007,Males,South Australia,342
Melanoma of the skin,2007,Females,South Australia,279
Melanoma of the skin,2007,Persons,South Australia,621
Melanoma of the skin,2008,Males,South Australia,413
Melanoma of the skin,2008,Females,South Australia,325
Melanoma of the skin,2008,Persons,South Australia,738
Melanoma of the skin,2009,Males,South Australia,381
Melanoma of the skin,2009,Females,South Australia,289
Melanoma of the skin,2009,Persons,South Australia,670
Melanoma of the skin,2010,Males,South Australia,386
Melanoma of the skin,2010,Females,South Australia,311
Melanoma of the skin,2010,Persons,South Australia,697
Melanoma of the skin,2011,Males,South Australia,404
Melanoma of the skin,2011,Females,South Australia,287
Melanoma of the skin,2011,Persons,South Australia,691
Melanoma of the skin,2012,Males,South Australia,393
Melanoma of the skin,2012,Females,South Australia,302
Melanoma of the skin,2012,Persons,South Australia,695
Melanoma of the skin,2013,Males,South Australia,437
Melanoma of the skin,2013,Females,South Australia,284
Melanoma of the skin,2013,Persons,South Australia,721
Melanoma of the skin,2014,Males,South Australia,478
Melanoma of the skin,2014,Females,South Australia,310
Melanoma of the skin,2014,Persons,South Australia,788
Melanoma of the skin,2015,Males,South Australia,471
Melanoma of the skin,2015,Females,South Australia,295
Melanoma of the skin,2015,Persons,South Australia,766
Melanoma of the skin,2016,Males,South Australia,463
Melanoma of the skin,2016,Females,South Australia,341
Melanoma of the skin,2016,Persons,South Australia,804
Melanoma of the skin,2017,Males,South Australia,467
Melanoma of the skin,2017,Females,South Australia,332
Melanoma of the skin,2017,Persons,South Australia,799
Melanoma of the skin,2018,Males,South Australia,476
Melanoma of the skin,2018,Females,South Australia,309
Melanoma of the skin,2018,Persons,South Australia,785
Melanoma of the skin,2019,Males,South Australia,545
Melanoma of the skin,2019,Females,South Australia,357
Melanoma of the skin,2019,Persons,South Australia,902
Melanoma of the skin,2020,Males,South Australia,544
Melanoma of the skin,2020,Females,South Australia,347
Melanoma of the skin,2020,Persons,South Australia,891
Melanoma of the skin,2007,Males,Tasmania,127
Melanoma of the skin,2007,Females,Tasmania,109
Melanoma of the skin,2007,Persons,Tasmania,236
Melanoma of the skin,2008,Males,Tasmania,163
Melanoma of the skin,2008,Females,Tasmania,114
Melanoma of the skin,2008,Persons,Tasmania,277
Melanoma of the skin,2009,Males,Tasmania,159
Melanoma of the skin,2009,Females,Tasmania,115
Melanoma of the skin,2009,Persons,Tasmania,274
Melanoma of the skin,2010,Males,Tasmania,158
Melanoma of the skin,2010,Females,Tasmania,134
Melanoma of the skin,2010,Persons,Tasmania,292
Melanoma of the skin,2011,Males,Tasmania,131
Melanoma of the skin,2011,Females,Tasmania,129
Melanoma of the skin,2011,Persons,Tasmania,260
Melanoma of the skin,2012,Males,Tasmania,146
Melanoma of the skin,2012,Females,Tasmania,109
Melanoma of the skin,2012,Persons,Tasmania,255
Melanoma of the skin,2013,Males,Tasmania,139
Melanoma of the skin,2013,Females,Tasmania,136
Melanoma of the skin,2013,Persons,Tasmania,275
Melanoma of the skin,2014,Males,Tasmania,163
Melanoma of the skin,2014,Females,Tasmania,169
Melanoma of the skin,2014,Persons,Tasmania,332
Melanoma of the skin,2015,Males,Tasmania,166
Melanoma of the skin,2015,Females,Tasmania,136
Melanoma of the skin,2015,Persons,Tasmania,302
Melanoma of the skin,2016,Males,Tasmania,185
Melanoma of the skin,2016,Females,Tasmania,148
Melanoma of the skin,2016,Persons,Tasmania,333
Melanoma of the skin,2017,Males,Tasmania,181
Melanoma of the skin,2017,Females,Tasmania,158
Melanoma of the skin,2017,Persons,Tasmania,339
Melanoma of the skin,2018,Males,Tasmania,205
Melanoma of the skin,2018,Females,Tasmania,196
Melanoma of the skin,2018,Persons,Tasmania,401
Melanoma of the skin,2019,Males,Tasmania,224
Melanoma of the skin,2019,Females,Tasmania,188
Melanoma of the skin,2019,Persons,Tasmania,412
Melanoma of the skin,2020,Males,Tasmania,221
Melanoma of the skin,2020,Females,Tasmania,205
Melanoma of the skin,2020,Persons,Tasmania,428
Melanoma of the skin,2007,Males,Victoria,"1,188"
Melanoma of the skin,2007,Females,Victoria,986
Melanoma of the skin,2007,Persons,Victoria,"2,174"
Melanoma of the skin,2008,Males,Victoria,"1,247"
Melanoma of the skin,2008,Females,Victoria,982
Melanoma of the skin,2008,Persons,Victoria,"2,229"
Melanoma of the skin,2009,Males,Victoria,"1,332"
Melanoma of the skin,2009,Females,Victoria,"1,048"
Melanoma of the skin,2009,Persons,Victoria,"2,380"
Melanoma of the skin,2010,Males,Victoria,"1,304"
Melanoma of the skin,2010,Females,Victoria,971
Melanoma of the skin,2010,Persons,Victoria,"2,275"
Melanoma of the skin,2011,Males,Victoria,"1,172"
Melanoma of the skin,2011,Females,Victoria,900
Melanoma of the skin,2011,Persons,Victoria,"2,072"
Melanoma of the skin,2012,Males,Victoria,"1,292"
Melanoma of the skin,2012,Females,Victoria,988
Melanoma of the skin,2012,Persons,Victoria,"2,280"
Melanoma of the skin,2013,Males,Victoria,"1,330"
Melanoma of the skin,2013,Females,Victoria,"1,002"
Melanoma of the skin,2013,Persons,Victoria,"2,332"
Melanoma of the skin,2014,Males,Victoria,"1,402"
Melanoma of the skin,2014,Females,Victoria,"1,064"
Melanoma of the skin,2014,Persons,Victoria,"2,466"
Melanoma of the skin,2015,Males,Victoria,"1,533"
Melanoma of the skin,2015,Females,Victoria,"1,162"
Melanoma of the skin,2015,Persons,Victoria,"2,695"
Melanoma of the skin,2016,Males,Victoria,"1,569"
Melanoma of the skin,2016,Females,Victoria,"1,251"
Melanoma of the skin,2016,Persons,Victoria,"2,820"
Melanoma of the skin,2017,Males,Victoria,"1,673"
Melanoma of the skin,2017,Females,Victoria,"1,310"
Melanoma of the skin,2017,Persons,Victoria,"2,983"
Melanoma of the skin,2018,Males,Victoria,"1,766"
Melanoma of the skin,2018,Females,Victoria,"1,311"
Melanoma of the skin,2018,Persons,Victoria,"3,078"
Melanoma of the skin,2019,Males,Victoria,"1,632"
Melanoma of the skin,2019,Females,Victoria,"1,202"
Melanoma of the skin,2019,Persons,Victoria,"2,834"
Melanoma of the skin,2020,Males,Victoria,"1,493"
Melanoma of the skin,2020,Females,Victoria,"1,093"
Melanoma of the skin,2020,Persons,Victoria,"2,586"
Melanoma of the skin,2007,Males,Western Australia,575
Melanoma of the skin,2007,Females,Western Australia,412
Melanoma of the skin,2007,Persons,Western Australia,987
Melanoma of the skin,2008,Males,Western Australia,658
Melanoma of the skin,2008,Females,Western Australia,425
Melanoma of the skin,2008,Persons,Western Australia,"1,083"
Melanoma of the skin,2009,Males,Western Australia,637
Melanoma of the skin,2009,Females,Western Australia,399
Melanoma of the skin,2009,Persons,Western Australia,"1,036"
Melanoma of the skin,2010,Males,Western Australia,646
Melanoma of the skin,2010,Females,Western Australia,388
Melanoma of the skin,2010,Persons,Western Australia,"1,034"
Melanoma of the skin,2011,Males,Western Australia,665
Melanoma of the skin,2011,Females,Western Australia,449
Melanoma of the skin,2011,Persons,Western Australia,"1,114"
Melanoma of the skin,2012,Males,Western Australia,694
Melanoma of the skin,2012,Females,Western Australia,451
Melanoma of the skin,2012,Persons,Western Australia,"1,145"
Melanoma of the skin,2013,Males,Western Australia,780
Melanoma of the skin,2013,Females,Western Australia,532
Melanoma of the skin,2013,Persons,Western Australia,"1,312"
Melanoma of the skin,2014,Males,Western Australia,770
Melanoma of the skin,2014,Females,Western Australia,530
Melanoma of the skin,2014,Persons,Western Australia,"1,300"
Melanoma of the skin,2015,Males,Western Australia,895
Melanoma of the skin,2015,Females,Western Australia,669
Melanoma of the skin,2015,Persons,Western Australia,"1,564"
Melanoma of the skin,2016,Males,Western Australia,912
Melanoma of the skin,2016,Females,Western Australia,624
Melanoma of the skin,2016,Persons,Western Australia,"1,536"
Melanoma of the skin,2017,Males,Western Australia,867
Melanoma of the skin,2017,Females,Western Australia,586
Melanoma of the skin,2017,Persons,Western Australia,"1,453"
Melanoma of the skin,2018,Males,Western Australia,857
Melanoma of the skin,2018,Females,Western Australia,627
Melanoma of the skin,2018,Persons,Western Australia,"1,484"
Melanoma of the skin,2019,Males,Western Australia,945
Melanoma of the skin,2019,Females,Western Australia,676
Melanoma of the skin,2019,Persons,Western Australia,"1,621"
Melanoma of the skin,2020,Males,Western Australia,817
Melanoma of the skin,2020,Females,Western Australia,597
Melanoma of the skin,2020,Persons,Western Australia,"1,417"